HGNC ID	Approved Symbol	Approved Name	Chromosome	Ensembl Gene ID	RefSeq IDs
HGNC:4433	GOT2	glutamic-oxaloacetic transaminase 2	16q21	ENSG00000125166	
HGNC:4441	GP2	glycoprotein 2	16p12.3	ENSG00000169347	NM_016295
HGNC:19995	GPR139	G protein-coupled receptor 139	16p12.3	ENSG00000180269	NM_001002911
HGNC:13308	GPRC5B	G protein-coupled receptor class C group 5 member B	16p12.3	ENSG00000167191	
HGNC:18062	GPT2	glutamic--pyruvic transaminase 2	16q11.2	ENSG00000166123	
HGNC:4585	GRIN2A	glutamate ionotropic receptor NMDA type subunit 2A	16p13.2	ENSG00000183454	
HGNC:28979	GSE1	Gse1 coiled-coil protein	16q24.1	ENSG00000131149	NM_014615
HGNC:28283	GSG1L	GSG1 like	16p12.1	ENSG00000169181	NM_144675
HGNC:4621	GSPT1	G1 to S phase transition 1	16p13.13	ENSG00000103342	NM_002094
HGNC:4664	GTF3C1	general transcription factor IIIC subunit 1	16p12.1	ENSG00000077235	NM_001520
HGNC:4805	HAGH	hydroxyacylglutathione hydrolase	16p13.3	ENSG00000063854	NM_005326
HGNC:14177	HAGHL	hydroxyacylglutathione hydrolase like	16p13.3		NM_032304
HGNC:4820	HAS3	hyaluronan synthase 3	16q22.1	ENSG00000103044	NM_138612
HGNC:4823	HBA1	hemoglobin subunit alpha 1	16p13.3	ENSG00000206172	NM_000558
HGNC:4824	HBA2	hemoglobin subunit alpha 2	16p13.3	ENSG00000188536	NM_000517
HGNC:4826	HBM	hemoglobin subunit mu	16p13.3	ENSG00000206177	NM_001003938
HGNC:4833	HBQ1	hemoglobin subunit theta 1	16p13.3	ENSG00000086506	NM_005331
HGNC:4835	HBZ	hemoglobin subunit zeta	16p13.3	ENSG00000130656	NM_005332
HGNC:21198	HCFC1R1	host cell factor C1 regulator 1	16p13.3		NM_017885
HGNC:26087	HEATR3	HEAT repeat containing 3	16q12.1	ENSG00000155393	NM_182922
HGNC:13744	HERPUD1	homocysteine inducible ER protein with ubiquitin like domain 1	16q13	ENSG00000051108	
HGNC:4917	HIRIP3	HIRA interacting protein 3	16p11.2	ENSG00000149929	NM_003609
HGNC:5014	HMOX2	heme oxygenase 2	16p13.3	ENSG00000103415	
HGNC:5141	HP	haptoglobin	16q22.2	ENSG00000257017	NM_005143
HGNC:5156	HPR	haptoglobin-related protein	16q22.2	ENSG00000261701	NM_020995
HGNC:5195	HS3ST2	heparan sulfate-glucosamine 3-sulfotransferase 2	16p12.2	ENSG00000122254	NM_006043
HGNC:5200	HS3ST4	heparan sulfate-glucosamine 3-sulfotransferase 4	16p12.1	ENSG00000182601	NM_006040
HGNC:14178	HS3ST6	heparan sulfate-glucosamine 3-sulfotransferase 6	16p13.3	ENSG00000162040	NM_001009606
HGNC:5203	HSBP1	heat shock factor binding protein 1	16q23.3		NM_001537
HGNC:18324	HSD3B7	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 7	16p11.2	ENSG00000099377	
HGNC:5209	HSD11B2	hydroxysteroid 11-beta dehydrogenase 2	16q22.1	ENSG00000176387	NM_000196
HGNC:5211	HSD17B2	hydroxysteroid 17-beta dehydrogenase 2	16q23.3	ENSG00000086696	NM_002153
HGNC:16475	HSDL1	hydroxysteroid dehydrogenase like 1	16q24.1	ENSG00000103160	NM_031463
HGNC:5227	HSF4	heat shock transcription factor 4	16q22.1	ENSG00000102878	NM_001538
HGNC:19368	HYDIN	HYDIN, axonemal central pair apparatus protein	16q22.2	ENSG00000157423	
HGNC:29077	IFT140	intraflagellar transport 140	16p13.3	ENSG00000187535	NM_014714
HGNC:5468	IGFALS	insulin like growth factor binding protein acid labile subunit	16p13.3	ENSG00000099769	
HGNC:5953	IGSF6	immunoglobulin superfamily member 6	16p12.2	ENSG00000140749	
HGNC:6015	IL4R	interleukin 4 receptor	16p12.1	ENSG00000077238	
HGNC:5983	IL17C	interleukin 17C	16q24.2	ENSG00000124391	NM_013278
HGNC:6006	IL21R	interleukin 21 receptor	16p12.1	ENSG00000103522	NM_181078
HGNC:19157	IL27	interleukin 27	16p12.1-p11.2	ENSG00000197272	NM_145659
HGNC:16830	IL32	interleukin 32	16p13.3	ENSG00000008517	NM_004221
HGNC:28529	IL34	interleukin 34	16q22.1	ENSG00000157368	NM_152456
HGNC:26905	INO80E	INO80 complex subunit E	16p11.2	ENSG00000169592	NM_173618
HGNC:28556	IQCK	IQ motif containing K	16p12.3	ENSG00000174628	NM_153208
HGNC:5358	IRF8	interferon regulatory factor 8	16q24.1	ENSG00000140968	NM_002163
HGNC:14360	IRX3	iroquois homeobox 3	16q12.2	ENSG00000177508	
HGNC:14361	IRX5	iroquois homeobox 5	16q12.2	ENSG00000176842	
HGNC:14675	IRX6	iroquois homeobox 6	16q12.2		NM_024335
HGNC:28977	IST1	IST1, ESCRT-III associated factor	16q22.2	ENSG00000182149	NM_014761
HGNC:30697	ITFG1	integrin alpha FG-GAP repeat containing 1	16q12.1	ENSG00000129636	NM_030790
HGNC:6146	ITGAD	integrin subunit alpha D	16p11.2	ENSG00000156886	NM_005353
HGNC:6148	ITGAL	integrin subunit alpha L	16p11.2	ENSG00000005844	
HGNC:6149	ITGAM	integrin subunit alpha M	16p11.2		NM_000632
HGNC:6152	ITGAX	integrin subunit alpha X	16p11.2	ENSG00000140678	NM_000887
HGNC:27257	ITPRIPL2	ITPRIP like 2	16p12.3	ENSG00000205730	NM_001034841
HGNC:14148	JMJD8	jumonji domain containing 8	16p13.3		NM_001005920
HGNC:14203	JPH3	junctophilin 3	16q24.2	ENSG00000154118	
HGNC:14137	JPT2	Jupiter microtubule associated homolog 2	16p13.3	ENSG00000206053	NM_144570
HGNC:6215	KARS	lysyl-tRNA synthetase	16q23.1	ENSG00000065427	NM_005548
HGNC:17933	KAT8	lysine acetyltransferase 8	16p11.2	ENSG00000103510	NM_032188
HGNC:6217	KATNB1	katanin regulatory subunit B1	16q21	ENSG00000140854	
HGNC:19697	KCNG4	potassium voltage-gated channel modifier subfamily G member 4	16q24.1	ENSG00000168418	NM_172347
HGNC:21423	KCTD5	potassium channel tetramerization domain containing 5	16p13.3	ENSG00000167977	NM_018992
HGNC:22234	KCTD13	potassium channel tetramerization domain containing 13	16p11.2	ENSG00000174943	NM_178863
HGNC:24753	KCTD19	potassium channel tetramerization domain containing 19	16q22.1		XM_085367
HGNC:25840	KDM8	lysine demethylase 8	16p12.1	ENSG00000155666	NM_024773
HGNC:29058	KIAA0513	KIAA0513	16q24.1	ENSG00000135709	NM_014732
HGNC:29068	KIAA0556	KIAA0556	16p12.1	ENSG00000047578	NM_015202
HGNC:34408	KIAA0895L	KIAA0895 like	16q22.1		NM_001040715
HGNC:6391	KIF22	kinesin family member 22	16p11.2	ENSG00000079616	
HGNC:6326	KIFC3	kinesin family member C3	16q21	ENSG00000140859	NM_005550
HGNC:25272	KLHDC4	kelch domain containing 4	16q24.2	ENSG00000104731	NM_017566
HGNC:17844	KLHL36	kelch like family member 36	16q24.1	ENSG00000135686	
HGNC:34404	KNOP1	lysine rich nucleolar protein 1	16p12.3	ENSG00000103550	NM_001012991
HGNC:18797	KREMEN2	kringle containing transmembrane protein 2	16p13.3	ENSG00000131650	NM_145347
HGNC:18874	LAT	linker for activation of T cells	16q13	ENSG00000213658	
HGNC:6522	LCAT	lecithin-cholesterol acyltransferase	16q22.1	ENSG00000213398	
HGNC:17557	LCMT1	leucine carboxyl methyltransferase 1	16p12.1	ENSG00000205629	NM_016309
HGNC:19708	LDHD	lactate dehydrogenase D	16q23.1	ENSG00000166816	NM_153486
HGNC:16841	LITAF	lipopolysaccharide induced TNF factor	16p13.13	ENSG00000189067	NM_004862
HGNC:14154	LMF1	lipase maturation factor 1	16p13.3	ENSG00000103227	NM_022773
HGNC:20598	LONP2	lon peptidase 2, peroxisomal	16q12.1	ENSG00000102910	NM_031490
HGNC:26032	LPCAT2	lysophosphatidylcholine acyltransferase 2	16q12.2	ENSG00000087253	NM_017839
HGNC:13605	LRRC29	leucine rich repeat containing 29	16q22.1	ENSG00000125122	NM_012163
HGNC:25615	LRRC36	leucine rich repeat containing 36	16q22.1		NM_018296
HGNC:6723	LUC7L	LUC7 like	16p13.3	ENSG00000007392	NM_201412
HGNC:25074	LYRM1	LYR motif containing 1	16p12.3	ENSG00000102897	NM_020424
HGNC:6776	MAF	MAF bZIP transcription factor	16q23.2	ENSG00000178573	
HGNC:13352	MAP1LC3B	microtubule associated protein 1 light chain 3 beta	16q24.2	ENSG00000140941	
HGNC:6877	MAPK3	mitogen-activated protein kinase 3	16p11.2	ENSG00000102882	
HGNC:6884	MAPK8IP3	mitogen-activated protein kinase 8 interacting protein 3	16p13.3	ENSG00000138834	NM_001040439
HGNC:29562	MARF1	meiosis regulator and mRNA stability factor 1	16p13.11	ENSG00000166783	NM_014647
HGNC:30525	MARVELD3	MARVEL domain containing 3	16q22.2	ENSG00000140832	NM_052858
HGNC:6914	MAZ	MYC associated zinc finger protein	16p11.2	ENSG00000103495	NM_002383
HGNC:15456	MBTPS1	membrane bound transcription factor peptidase, site 1	16q23.3-q24.1	ENSG00000140943	NM_003791
HGNC:6929	MC1R	melanocortin 1 receptor	16q24.3	ENSG00000258839	NM_002386
HGNC:14142	MCRIP2	MAPK regulated corepressor interacting protein 2	16p13.3	ENSG00000172366	NM_138418
HGNC:6998	MEFV	MEFV, pyrin innate immunity regulator	16p13.3	ENSG00000103313	NM_000243
HGNC:28569	MEIOB	meiosis specific with OB domains	16p13.3	ENSG00000162039	NM_152764
HGNC:14151	METRN	meteorin, glial cell differentiation regulator	16p13.3	ENSG00000103260	NM_024042
HGNC:24586	METTL9	methyltransferase like 9	16p12.2	ENSG00000197006	NM_016025
HGNC:28368	METTL22	methyltransferase like 22	16p13.2	ENSG00000067365	NM_024109
HGNC:14141	METTL26	methyltransferase like 26	16p13.3	ENSG00000130731	NM_001040160
HGNC:20254	MGRN1	mahogunin ring finger 1	16p13.3	ENSG00000102858	
HGNC:29819	MKL2	MKL1/myocardin like 2	16p13.12	ENSG00000186260	NM_014048
HGNC:26617	MLKL	mixed lineage kinase domain like pseudokinase	16q22.3		NM_152649
HGNC:24825	MLST8	MTOR associated protein, LST8 homolog	16p13.3	ENSG00000167965	NM_022372
HGNC:7150	MLYCD	malonyl-CoA decarboxylase	16q23.3	ENSG00000103150	NM_012213
HGNC:7166	MMP2	matrix metallopeptidase 2	16q12.2	ENSG00000087245	
HGNC:7161	MMP15	matrix metallopeptidase 15	16q21	ENSG00000102996	NM_002428
HGNC:14246	MMP25	matrix metallopeptidase 25	16p13.3		NM_022468
HGNC:25020	MON1B	MON1 homolog B, secretory trafficking associated	16q23.1	ENSG00000103111	NM_014940
HGNC:27087	MOSMO	modulator of smoothened	16p12.2	ENSG00000185716	NM_001164579
HGNC:7211	MPG	N-methylpurine DNA glycosylase	16p13.3	ENSG00000103152	
HGNC:7214	MPHOSPH6	M-phase phosphoprotein 6	16q23.3	ENSG00000135698	NM_005792
HGNC:26827	MPV17L	MPV17 mitochondrial inner membrane protein like	16p13.11	ENSG00000156968	NM_173803
HGNC:14484	MRPL28	mitochondrial ribosomal protein L28	16p13.3	ENSG00000086504	
HGNC:16618	MRPS34	mitochondrial ribosomal protein S34	16p13.3	ENSG00000074071	NM_023936
HGNC:7371	MSLN	mesothelin	16p13.3	ENSG00000102854	
HGNC:14133	MSRB1	methionine sulfoxide reductase B1	16p13.3	ENSG00000198736	NM_016332
HGNC:7393	MT1A	metallothionein 1A	16q13		NM_005946
HGNC:7394	MT1B	metallothionein 1B	16q13	ENSG00000169688	NM_005947
HGNC:7397	MT1E	metallothionein 1E	16q13	ENSG00000169715	NM_175617
HGNC:7398	MT1F	metallothionein 1F	16q13		NM_005949
HGNC:7399	MT1G	metallothionein 1G	16q13	ENSG00000125144	NM_005950
HGNC:7400	MT1H	metallothionein 1H	16q13	ENSG00000205358	NM_005951
HGNC:14296	MT1M	metallothionein 1M	16q13		NM_176870
HGNC:7405	MT1X	metallothionein 1X	16q13	ENSG00000187193	NM_005952
HGNC:7406	MT2A	metallothionein 2A	16q13	ENSG00000125148	NM_005953
HGNC:7408	MT3	metallothionein 3	16q13	ENSG00000087250	NM_005954
HGNC:18705	MT4	metallothionein 4	16q13	ENSG00000102891	NM_032935
HGNC:25778	MTHFSD	methenyltetrahydrofolate synthetase domain containing	16q24.1		NM_022764
HGNC:37161	MTRNR2L4	MT-RNR2 like 4	16p13.3	ENSG00000232196	NM_001190476
HGNC:25094	MTSS1L	MTSS1L, I-BAR domain containing	16q22.1	ENSG00000132613	NM_138383
HGNC:7529	MVD	mevalonate diphosphate decarboxylase	16q24.2	ENSG00000167508	NM_002461
HGNC:7531	MVP	major vault protein	16p11.2	ENSG00000013364	NM_005115
HGNC:7569	MYH11	myosin heavy chain 11	16p13.11	ENSG00000133392	NM_001040113
HGNC:29826	MYLK3	myosin light chain kinase 3	16q11.2	ENSG00000140795	NM_182493
HGNC:29824	MYLPF	myosin light chain, phosphorylatable, fast skeletal muscle	16p11.2	ENSG00000180209	NM_013292
HGNC:29850	N4BP1	NEDD4 binding protein 1	16q12.1		NM_014664
HGNC:25875	NAA60	N(alpha)-acetyltransferase 60, NatF catalytic subunit	16p13.3	ENSG00000122390	NM_024845
HGNC:621	NAE1	NEDD8 activating enzyme E1 subunit 1	16q22.1	ENSG00000159593	NM_003905
HGNC:17378	NAGPA	N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase	16p13.3	ENSG00000103174	NM_016256
HGNC:17619	NDE1	nudE neurodevelopment protein 1	16p13.11	ENSG00000072864	NM_017668
HGNC:14466	NDRG4	NDRG family member 4	16q21	ENSG00000103034	
HGNC:7694	NDUFAB1	NADH:ubiquinone oxidoreductase subunit AB1	16p12.2	ENSG00000004779	NM_005003
HGNC:7696	NDUFB10	NADH:ubiquinone oxidoreductase subunit B10	16p13.3	ENSG00000140990	NM_004548
HGNC:23746	NECAB2	N-terminal EF-hand calcium binding protein 2	16q23.3	ENSG00000103154	NM_019065
HGNC:14644	NETO2	neuropilin and tolloid like 2	16q12.1	ENSG00000171208	NM_018092
HGNC:7774	NFAT5	nuclear factor of activated T cells 5	16q22.1	ENSG00000102908	NM_138714
HGNC:25906	NFATC2IP	nuclear factor of activated T cells 2 interacting protein	16p11.2	ENSG00000176953	NM_032815
HGNC:7777	NFATC3	nuclear factor of activated T cells 3	16q22.1	ENSG00000072736	NM_004555
HGNC:26700	NHLRC4	NHL repeat containing 4	16p13.3	ENSG00000257108	NM_176677
HGNC:24328	NIP7	NIP7, nucleolar pre-rRNA processing protein	16q22.1	ENSG00000132603	NM_016101
HGNC:17045	NKD1	naked cuticle homolog 1	16q12.1	ENSG00000140807	
HGNC:29889	NLRC3	NLR family CARD domain containing 3	16p13.3	ENSG00000167984	NM_178844
HGNC:29933	NLRC5	NLR family CARD domain containing 5	16q13	ENSG00000140853	NM_032206
HGNC:7851	NME3	NME/NM23 nucleoside diphosphate kinase 3	16p13.3	ENSG00000103024	NM_002513
HGNC:7852	NME4	NME/NM23 nucleoside diphosphate kinase 4	16p13.3	ENSG00000103202	NM_005009
HGNC:24987	NMRAL1	NmrA like redox sensor 1	16p13.3	ENSG00000153406	NM_020677
HGNC:29540	NOB1	NIN1 (RPN12) binding protein 1 homolog	16q22.1	ENSG00000141101	NM_014062
HGNC:5331	NOD2	nucleotide binding oligomerization domain containing 2	16q12.1	ENSG00000167207	NM_022162
HGNC:7869	NOL3	nucleolar protein 3	16q22.1		
HGNC:30060	NOMO1	NODAL modulator 1	16p13.11	ENSG00000103512	
HGNC:22652	NOMO2	NODAL modulator 2	16p12.3	ENSG00000185164	NM_001004060
HGNC:25242	NOMO3	NODAL modulator 3	16p13.11	ENSG00000103226	NM_001004067
HGNC:19404	NOXO1	NADPH oxidase organizer 1	16p13.3	ENSG00000196408	
HGNC:7909	NPIPA1	nuclear pore complex interacting protein family member A1	16p13.11	ENSG00000183426	NM_006985
HGNC:41979	NPIPA2	nuclear pore complex interacting protein family member A2	16p13.11	ENSG00000254852	
HGNC:41978	NPIPA3	nuclear pore complex interacting protein family member A3	16p13.11	ENSG00000224712	
HGNC:41980	NPIPA5	nuclear pore complex interacting protein family member A5	16p13.11	ENSG00000183793	
HGNC:41982	NPIPA7	nuclear pore complex interacting protein family member A7	16p13.11	ENSG00000214967	
HGNC:41983	NPIPA8	nuclear pore complex interacting protein family member A8	16p12.3	ENSG00000214940	
HGNC:28989	NPIPB3	nuclear pore complex interacting protein family member B3	16p12.2	ENSG00000169246	NM_130464
HGNC:41985	NPIPB4	nuclear pore complex interacting protein family member B4	16p12.2	ENSG00000185864	
HGNC:37233	NPIPB5	nuclear pore complex interacting protein family member B5	16p12.2	ENSG00000243716	NM_001135865
HGNC:37454	NPIPB6	nuclear pore complex interacting protein family member B6	16p12.1	ENSG00000198156	XM_001717652
HGNC:37490	NPIPB8	nuclear pore complex interacting protein family member B8	16p11.2	ENSG00000255524	XM_001132754
HGNC:41987	NPIPB9	nuclear pore complex interacting protein family member B9	16p11.2	ENSG00000196993	
HGNC:37453	NPIPB11	nuclear pore complex interacting protein family member B11	16p11.2	ENSG00000254206	XM_002343430
HGNC:41989	NPIPB13	nuclear pore complex interacting protein family, member B13	16p11.2	ENSG00000198064	NM_001321892
HGNC:34409	NPIPB15	nuclear pore complex interacting protein family member B15	16q23.1	ENSG00000196436	NM_001018059
HGNC:14124	NPRL3	NPR3 like, GATOR1 complex subunit	16p13.3	ENSG00000103148	NM_001039476
HGNC:30509	NPW	neuropeptide W	16p13.3	ENSG00000183971	NM_001099456
HGNC:2874	NQO1	NAD(P)H quinone dehydrogenase 1	16q22.1	ENSG00000181019	
HGNC:29811	NRN1L	neuritin 1 like	16q22.1	ENSG00000188038	NM_198443
HGNC:29897	NSMCE1	NSE1 homolog, SMC5-SMC6 complex component	16p12.1	ENSG00000169189	NM_145080
HGNC:29909	NTAN1	N-terminal asparagine amidase	16p13.11	ENSG00000157045	NM_173474
HGNC:8028	NTHL1	nth like DNA glycosylase 1	16p13.3	ENSG00000065057	NM_002528
HGNC:8030	NTN3	netrin 3	16p13.3	ENSG00000162068	NM_006181
HGNC:8041	NUBP1	nucleotide binding protein 1	16p13.13	ENSG00000103274	NM_002484
HGNC:8042	NUBP2	nucleotide binding protein 2	16p13.3	ENSG00000095906	NM_012225
HGNC:8054	NUDT7	nudix hydrolase 7	16q23.1		
HGNC:28154	NUDT16L1	nudix hydrolase 16 like 1	16p13.3	ENSG00000168101	NM_032349
HGNC:13870	NUDT21	nudix hydrolase 21	16q13	ENSG00000167005	NM_007006
HGNC:28958	NUP93	nucleoporin 93	16q13	ENSG00000102900	NM_014669
HGNC:29990	NUPR1	nuclear protein 1, transcriptional regulator	16p11.2	ENSG00000176046	NM_012385
HGNC:13722	NUTF2	nuclear transport factor 2	16q22.1	ENSG00000102898	
HGNC:25585	OGFOD1	2-oxoglutarate and iron dependent oxygenase domain containing 1	16q13	ENSG00000087263	NM_018233
HGNC:8194	OR1F1	olfactory receptor family 1 subfamily F member 1	16p13.3	ENSG00000168124	
HGNC:8242	OR2C1	olfactory receptor family 2 subfamily C member 1	16p13.3	ENSG00000168158	
HGNC:28185	ORAI3	ORAI calcium release-activated calcium modulator 3	16p11.2	ENSG00000175938	NM_152288
HGNC:17151	ORC6	origin recognition complex subunit 6	16q11.2	ENSG00000091651	
HGNC:30093	OSGIN1	oxidative stress induced growth inhibitor 1	16q23.3	ENSG00000140961	NM_013370
HGNC:16378	OTOA	otoancorin	16p12.2	ENSG00000155719	
HGNC:37237	PABPN1L	poly(A) binding protein nuclear 1 like, cytoplasmic	16q24.3	ENSG00000205022	NM_001080487
HGNC:28707	PAGR1	PAXIP1 associated glutamate rich protein 1	16p11.2	ENSG00000280789	NM_024516
HGNC:26144	PALB2	partner and localizer of BRCA2	16p12.2	ENSG00000083093	NM_024675
HGNC:29679	PAM16	presequence translocase associated motor 16	16p13.3	ENSG00000217930	NM_016069
HGNC:26386	PAQR4	progestin and adipoQ receptor family member 4	16p13.3	ENSG00000162073	NM_152341
HGNC:15943	PARD6A	par-6 family cell polarity regulator alpha	16q22.1	ENSG00000102981	NM_016948
HGNC:8609	PARN	poly(A)-specific ribonuclease	16p13.12	ENSG00000140694	NM_002582
HGNC:30012	PDF	peptide deformylase, mitochondrial	16q22.1	ENSG00000258429	NM_022341
HGNC:14180	PDIA2	protein disulfide isomerase family A member 2	16p13.3	ENSG00000185615	NM_006849
HGNC:27338	PDILT	protein disulfide isomerase like, testis expressed	16p12.3	ENSG00000169340	NM_174924
HGNC:30263	PDP2	pyruvate dehyrogenase phosphatase catalytic subunit 2	16q22.1	ENSG00000172840	NM_020786
HGNC:8816	PDPK1	3-phosphoinositide dependent protein kinase 1	16p13.3	ENSG00000140992	
HGNC:30264	PDPR	pyruvate dehydrogenase phosphatase regulatory subunit	16q22.1	ENSG00000090857	NM_017990
HGNC:28995	PDXDC1	pyridoxal dependent decarboxylase domain containing 1	16p13.11	ENSG00000179889	NM_015027
HGNC:28740	PDZD9	PDZ domain containing 9	16p12.2	ENSG00000155714	NM_173806
HGNC:8909	PGP	phosphoglycolate phosphatase	16p13.3	ENSG00000184207	NM_024118
HGNC:8927	PHKB	phosphorylase kinase regulatory subunit beta	16q12.1	ENSG00000102893	
HGNC:8931	PHKG2	phosphorylase kinase catalytic subunit gamma 2	16p11.2	ENSG00000156873	NM_000294
HGNC:29149	PHLPP2	PH domain and leucine rich repeat protein phosphatase 2	16q22.2	ENSG00000040199	NM_015020
HGNC:28993	PIEZO1	piezo type mechanosensitive ion channel component 1	16q24.3	ENSG00000103335	NM_014745
HGNC:14135	PIGQ	phosphatidylinositol glycan anchor biosynthesis class Q	16p13.3	ENSG00000007541	NM_004204
HGNC:9008	PKD1	polycystin 1, transient receptor potential channel interacting	16p13.3	ENSG00000008710	
HGNC:21715	PKD1L2	polycystin 1 like 2 (gene/pseudogene)	16q23.2	ENSG00000166473	
HGNC:21716	PKD1L3	polycystin 1 like 3, transient receptor potential channel interacting	16q22.2		NM_181536
HGNC:29650	PKMYT1	protein kinase, membrane associated tyrosine/threonine 1	16p13.3	ENSG00000127564	NM_004203
HGNC:9029	PLA2G10	phospholipase A2 group X	16p13.12	ENSG00000069764	NM_003561
HGNC:17163	PLA2G15	phospholipase A2 group XV	16q22.1	ENSG00000103066	NM_012320
HGNC:9066	PLCG2	phospholipase C gamma 2	16q24.1		
HGNC:24501	PLEKHG4	pleckstrin homology and RhoGEF domain containing G4	16q22.1		NM_015432
HGNC:9077	PLK1	polo like kinase 1	16p12.2	ENSG00000166851	NM_005030
HGNC:18553	PLLP	plasmolipin	16q13	ENSG00000102934	
HGNC:17728	PMFBP1	polyamine modulated factor 1 binding protein 1	16q22.2	ENSG00000118557	NM_031293
HGNC:9115	PMM2	phosphomannomutase 2	16p13.2	ENSG00000140650	NM_000303
HGNC:9189	POLR2C	RNA polymerase II subunit C	16q21	ENSG00000102978	NM_032940
HGNC:30347	POLR3E	RNA polymerase III subunit E	16p12.2	ENSG00000058600	NM_018119
HGNC:14121	POLR3K	RNA polymerase III subunit K	16p13.3	ENSG00000161980	NM_016310
HGNC:9273	PPL	periplakin	16p13.3	ENSG00000118898	NM_002705
HGNC:9319	PPP4C	protein phosphatase 4 catalytic subunit	16p11.2	ENSG00000149923	NM_002720
HGNC:9351	PRDM7	PR/SET domain 7	16q24.3	ENSG00000126856	
HGNC:9395	PRKCB	protein kinase C beta	16p12.2-p12.1	ENSG00000166501	NM_212535
HGNC:9447	PRM1	protamine 1	16p13.13	ENSG00000175646	
HGNC:9448	PRM2	protamine 2	16p13.13	ENSG00000122304	
HGNC:13732	PRM3	protamine 3	16p13.13	ENSG00000178257	
HGNC:25557	PRMT7	protein arginine methyltransferase 7	16q22.1	ENSG00000132600	NM_019023
HGNC:28458	PRR14	proline rich 14	16p11.2	ENSG00000156858	NM_024031
HGNC:37230	PRR25	proline rich 25	16p13.3	ENSG00000167945	NM_001013638
HGNC:14139	PRR35	proline rich 35	16p13.3	ENSG00000161992	NM_145270
HGNC:30500	PRRT2	proline rich transmembrane protein 2	16p11.2	ENSG00000167371	NM_145239
HGNC:9491	PRSS8	serine protease 8	16p11.2		NM_002773
HGNC:9485	PRSS21	serine protease 21	16p13.3	ENSG00000007038	NM_006799
HGNC:14368	PRSS22	serine protease 22	16p13.3	ENSG00000005001	NM_022119
HGNC:15475	PRSS27	serine protease 27	16p13.3	ENSG00000172382	NM_031948
HGNC:30405	PRSS33	serine protease 33	16p13.3	ENSG00000103355	NM_152891
HGNC:26906	PRSS36	serine protease 36	16p11.2	ENSG00000178226	NM_173502
HGNC:30715	PRSS41	serine protease 41	16p13.3	ENSG00000215148	NM_183379
HGNC:34407	PRSS53	serine protease 53	16p11.2	ENSG00000151006	NM_001081268
HGNC:26336	PRSS54	serine protease 54	16q21	ENSG00000103023	NM_001080492
HGNC:9529	PSKH1	protein serine kinase H1	16q22.1	ENSG00000159792	NM_006742
HGNC:9538	PSMB10	proteasome subunit beta 10	16q22.1	ENSG00000205220	NM_002801
HGNC:9565	PSMD7	proteasome 26S subunit, non-ATPase 7	16q23.1	ENSG00000103035	NM_002811
HGNC:14171	PTX4	pentraxin 4	16p13.3	ENSG00000251692	NM_001013658
HGNC:16608	PYCARD	PYD and CARD domain containing	16p11.2	ENSG00000103490	NM_013258
HGNC:30261	PYDC1	pyrin domain containing 1	16p11.2	ENSG00000169900	NM_152901
HGNC:9755	QPRT	quinolinate phosphoribosyltransferase	16p11.2	ENSG00000103485	NM_014298
HGNC:17224	RAB11FIP3	RAB11 family interacting protein 3	16p13.3	ENSG00000090565	NM_014700
HGNC:14259	RAB26	RAB26, member RAS oncogene family	16p13.3	ENSG00000167964	
HGNC:18285	RAB40C	RAB40C, member RAS oncogene family	16p13.3	ENSG00000197562	NM_021168
HGNC:24817	RABEP2	rabaptin, RAB GTPase binding effector protein 2	16p11.2	ENSG00000177548	NM_024816
HGNC:29285	RANBP10	RAN binding protein 10	16q22		NM_020850
HGNC:9889	RBBP6	RB binding protein 6, ubiquitin ligase	16p12.1	ENSG00000122257	NM_006910
HGNC:18222	RBFOX1	RNA binding fox-1 homolog 1	16p13.3	ENSG00000078328	NM_145891
HGNC:9894	RBL2	RB transcriptional corepressor like 2	16q12.2	ENSG00000103479	NM_005611
HGNC:24661	REXO5	RNA exonuclease 5	16p12.3	ENSG00000005189	NM_030941
HGNC:25539	RFWD3	ring finger and WD repeat domain 3	16q23.1	ENSG00000168411	NM_018124
HGNC:9993	RGS11	regulator of G protein signaling 11	16p13.3	ENSG00000076344	
HGNC:20561	RHBDF1	rhomboid 5 homolog 1	16p13.3	ENSG00000007384	NM_022450
HGNC:10007	RHBDL1	rhomboid like 1	16p13.3	ENSG00000103269	NM_003961
HGNC:21169	RHOT2	ras homolog family member T2	16p13.3	ENSG00000140983	NM_138769
HGNC:25836	RIPOR1	RHO family interacting cell polarization regulator 1	16q22.1	ENSG00000039523	NM_024519
HGNC:28349	RMI2	RecQ mediated genome instability 2	16p13.13	ENSG00000175643	NM_152308
HGNC:16867	RNF40	ring finger protein 40	16p11.2	ENSG00000103549	NM_014771
HGNC:23235	RNF151	ring finger protein 151	16p13.3	ENSG00000179580	NM_174903
HGNC:28856	RNF166	ring finger protein 166	16q24.2-q24.3	ENSG00000158717	NM_178841
HGNC:10080	RNPS1	RNA binding protein with serine rich domain 1	16p13.3	ENSG00000205937	NM_080594
HGNC:29478	ROGDI	rogdi homolog	16p13.3	ENSG00000067836	NM_024589
HGNC:29168	RPGRIP1L	RPGRIP1 like	16q12.2		NM_015272
